Unnamed: 0,country,year,biofuel_electricity,hydro_electricity,nuclear_electricity,solar_electricity,wind_electricity,other_renewable_electricity,coal_electricity,gas_electricity,oil_electricity,total,timestamp,temperature,humidity,wind_speed,demand
36,Albania,2015,0.0,5.836,0.0,0.001,0.0,0.0,0.0,0.0,0.0,5.837,2025-03-01 12:47:17,31.16794696232922,63.14196826903406,11.810232726145609,222.5567281254141
37,Albania,2016,0.0,7.704,0.0,0.002,0.0,0.0,0.0,0.0,0.0,7.706,2025-03-01 12:47:17,21.092275383467413,65.7137839631641,8.12003074051901,325.3357456362799
38,Albania,2017,0.0,4.48,0.0,0.001,0.0,0.0,0.0,0.0,0.0,4.481,2025-03-01 12:47:17,16.95344228012768,82.31478367683033,4.858433288705688,588.4311225309805
39,Albania,2018,0.0,8.466,0.0,0.001,0.0,0.0,0.0,0.0,0.0,8.467,2025-03-01 12:47:17,28.684660530243136,64.61889674506091,2.043758476379668,819.1093342171228
40,Albania,2019,0.0,5.154,0.0,0.022,0.0,0.0,0.0,0.0,0.0,5.176,2025-03-01 12:47:17,23.803049874792027,50.72885122340674,13.313446077242869,132.62940589737462
41,Algeria,2000,0.0,0.053,0.0,0.0,0.0,0.0,0.0,23.837,0.0,23.89,2025-03-01 12:47:17,17.440764696895577,78.18071289157923,7.061435885814045,985.6163351767244
42,Algeria,2001,0.0,0.068,0.0,0.0,0.0,0.0,0.0,24.963,0.0,25.031,2025-03-01 12:47:17,24.903538202225405,62.41673359124526,13.17172795478552,509.41594259415746
43,Algeria,2002,0.0,0.056,0.0,0.0,0.0,0.0,0.0,25.936,0.0,25.992,2025-03-01 12:47:17,15.687770422304368,34.7568170778715,8.787781836497524,423.3080265595507
44,Algeria,2003,0.0,0.262,0.0,0.0,0.0,0.0,0.0,27.548,0.0,27.81,2025-03-01 12:47:17,33.186408041575646,63.9510336187948,10.112881749225012,363.45199405579467
45,Algeria,2004,0.0,0.248,0.0,0.0,0.0,0.0,0.0,29.139,0.0,29.387,2025-03-01 12:47:17,20.17559963200034,84.48111272529974,12.06391731567675,256.9210368857845
46,Algeria,2005,0.0,0.549,0.0,0.0,0.0,0.0,0.0,31.358,0.0,31.907,2025-03-01 12:47:17,28.25044568707964,53.778757529893234,9.887333169002016,812.4165180370251
47,Algeria,2006,0.0,0.216,0.0,0.0,0.0,0.0,0.0,32.908,0.0,33.124,2025-03-01 12:47:17,21.23422152178822,47.779548113988,5.970822610184065,959.8727482714869
48,Algeria,2007,0.0,0.224,0.0,0.0,0.0,0.0,0.0,34.752,0.0,34.976,2025-03-01 12:47:17,25.401360423556216,38.608167421081205,7.704500758929765,472.2802793608584
49,Algeria,2008,0.0,0.28,0.0,0.0,0.0,0.0,0.0,37.556,0.0,37.836,2025-03-01 12:47:17,25.934205586865595,39.08673131612144,12.045682870138195,957.1786252781106
50,Algeria,2009,0.0,0.303,0.0,0.0,0.0,0.0,0.0,35.903,0.0,36.206,2025-03-01 12:47:17,18.69708911051054,55.96628906050913,5.604754445594763,841.4178538915307
51,Algeria,2010,0.0,0.172,0.0,0.0,0.0,0.0,0.0,42.826,0.0,42.998,2025-03-01 12:47:17,34.39169255529117,65.74078944969177,5.8218218515274565,532.9460147286865
52,Algeria,2011,0.0,0.497,0.0,0.0,0.0,0.0,0.0,47.679,0.0,48.176,2025-03-01 12:47:17,30.50265646722229,34.8369243101761,1.4353517408700172,706.6235612135195
53,Algeria,2012,0.0,0.616,0.0,0.0,0.0,0.0,0.0,53.368,0.0,53.984,2025-03-01 12:47:17,33.78997883128378,86.37411534150993,13.718766528326215,491.4857612534166
54,Algeria,2013,0.0,0.327,0.0,0.0,0.0,0.0,0.0,55.986,0.0,56.313,2025-03-01 12:47:17,32.89654700855297,75.30801704671175,1.365544724181626,602.8510673912972
55,Algeria,2014,0.0,0.251,0.0,0.0,0.001,0.0,0.0,60.149,0.0,60.401,2025-03-01 12:47:17,26.957999576221702,65.19743509701976,9.723137661728336,152.24170331665343
56,Algeria,2015,0.0,0.144,0.0,0.058,0.019,0.0,0.0,64.461,0.0,64.682,2025-03-01 12:47:17,33.437484700462335,79.70632025633945,6.197917182041966,726.6371277704798
57,Algeria,2016,0.0,0.216,0.0,0.087,0.029,0.0,0.0,66.423,0.0,66.755,2025-03-01 12:47:17,16.76985004103839,34.8112054087268,6.084290853831636,147.54218003572305
58,Algeria,2017,0.0,0.055,0.0,0.572,0.008,0.0,0.0,70.86,0.0,71.495,2025-03-01 12:47:17,18.919657248382904,58.61033266398746,10.19327754859026,835.3764522276846
59,Algeria,2018,0.0,0.116,0.0,0.603,0.011,0.0,0.0,71.327,0.0,72.057,2025-03-01 12:47:17,15.90454577821076,67.8055876116998,1.0064059894481807,842.4522365145017
60,Algeria,2019,0.0,0.106,0.0,0.615,0.011,0.0,0.0,73.616,0.0,74.348,2025-03-01 12:47:17,21.506606615265287,79.71917436709735,8.905586744271519,313.36955880059315
61,American Samoa,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159,0.159,2025-03-01 12:47:17,22.77354579378964,77.00817360295606,11.580476789585322,391.2965029322202
62,American Samoa,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161,0.161,2025-03-01 12:47:17,20.42698063547792,46.62415498280398,12.423191368298912,533.179340702464
63,American Samoa,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.168,0.168,2025-03-01 12:47:17,31.57475018303859,86.45281017355225,2.5579558409066294,636.9966162392333
64,American Samoa,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.177,2025-03-01 12:47:17,22.135066533871782,37.46075048585222,13.461285751172603,358.6182955677971
65,American Samoa,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.177,0.177,2025-03-01 12:47:17,20.61869019374761,82.50801711726913,9.842191377711632,633.2377641687325
66,American Samoa,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178,0.178,2025-03-01 12:47:17,25.853921663164968,88.25641497627711,13.22782201231024,368.00836590636897
67,American Samoa,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.181,0.181,2025-03-01 12:47:17,17.818484499495252,40.62921139335754,7.279210756652974,149.9416489639546
68,American Samoa,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184,0.184,2025-03-01 12:47:17,31.043939615080795,73.32396385222711,8.13050017645803,102.27479484871806
69,American Samoa,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.187,0.187,2025-03-01 12:47:17,16.491012873595416,32.417131126679905,13.785574155430067,191.03595212658576
70,American Samoa,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178,0.178,2025-03-01 12:47:17,34.73773873201034,54.3253695083493,13.498643150320076,813.0256301476164
71,American Samoa,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159,0.159,2025-03-01 12:47:17,30.444895385933147,60.97699795186044,6.722413100535031,965.2881811450034
72,American Samoa,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155,0.155,2025-03-01 12:47:17,18.974313630683447,64.83871355457805,4.1161894745352265,484.26957935309736
73,American Samoa,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.157,0.157,2025-03-01 12:47:17,15.110442342472048,86.15623489491357,5.897556518463962,561.4155581049486
74,American Samoa,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156,0.156,2025-03-01 12:47:17,31.30922856909668,70.33504123765168,5.816464927946246,232.1633521660835
75,American Samoa,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156,0.156,2025-03-01 12:47:17,29.137146876952343,58.87667707315422,4.30300312474191,595.9282174121413
76,American Samoa,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.163,0.163,2025-03-01 12:47:17,29.580143360819747,78.58050217595336,4.028694064994498,230.18941180627917
77,American Samoa,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,2025-03-01 12:47:17,30.425406933718914,87.03196925726454,12.915944047195792,650.0928980789471
78,American Samoa,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.167,2025-03-01 12:47:17,16.480893034681806,31.32396892093745,1.0479288102699251,939.9328008227685
79,American Samoa,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.163,0.163,2025-03-01 12:47:17,22.16931457088545,88.95127633536232,10.164167731493912,276.1286853727356
80,American Samoa,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.163,0.163,2025-03-01 12:47:17,17.317381190502594,35.16792834382082,2.5923007718467845,788.1073462513918
81,Angola,2000,0.0,0.903,0.0,0.0,0.0,0.0,0.0,0.273,0.228,1.404,2025-03-01 12:47:17,32.26206851751187,78.86320675612568,5.167588400910948,121.15218053649164
82,Angola,2001,0.0,1.007,0.0,0.0,0.0,0.0,0.0,0.318,0.266,1.591,2025-03-01 12:47:17,27.46596253655116,46.82008515308475,0.9231455120225528,437.9475171894589
83,Angola,2002,0.0,1.132,0.0,0.0,0.0,0.0,0.0,0.318,0.266,1.716,2025-03-01 12:47:17,21.617960497052984,37.93077946523231,4.049604552831931,199.67365704745814
84,Angola,2003,0.0,1.229,0.0,0.0,0.0,0.0,0.0,0.386,0.323,1.938,2025-03-01 12:47:17,16.27116700572047,56.39133838283009,11.526316066758632,417.22789743612947
85,Angola,2004,0.0,1.733,0.0,0.0,0.0,0.0,0.0,0.247,0.206,2.186,2025-03-01 12:47:17,21.219646434313244,68.63739476685681,13.27522986820888,256.1832276749951
86,Angola,2005,0.0,2.197,0.0,0.0,0.0,0.0,0.0,0.29,0.243,2.73,2025-03-01 12:47:17,21.503666440534943,52.8571107014085,3.3229072785355056,435.9744911105987
87,Angola,2006,0.0,2.638,0.0,0.0,0.0,0.0,0.0,0.328,0.274,3.24,2025-03-01 12:47:17,29.59212356676128,33.27392449696194,6.953217588883828,475.7705254967773
88,Angola,2007,0.0,2.472,0.0,0.0,0.0,0.0,0.0,0.369,0.308,3.149,2025-03-01 12:47:17,27.751149427104263,65.96766837952299,7.054860719058096,370.53201050282655
89,Angola,2008,0.0,3.103,0.0,0.0,0.0,0.0,0.0,0.523,0.438,4.064,2025-03-01 12:47:17,32.744254851526534,84.14419656664049,13.103629586396012,690.9597545258163
90,Angola,2009,0.0,3.063,0.0,0.0,0.0,0.0,0.0,0.84,0.703,4.606,2025-03-01 12:47:17,24.444298503238983,52.992921956835104,11.44198579313708,926.9668461330187
91,Angola,2010,0.0,3.666,0.0,0.01,0.0,0.0,0.0,0.894,0.748,5.318,2025-03-01 12:47:17,17.391884918766035,42.97996665784962,7.696158275520748,460.5358366947451
92,Angola,2011,0.0,3.967,0.0,0.011,0.0,0.0,0.0,0.842,0.704,5.524,2025-03-01 12:47:17,29.2648957444599,56.55464075596892,10.0612080070766,273.1088408275193
93,Angola,2012,0.0,3.734,0.0,0.014,0.0,0.0,0.0,1.245,1.041,6.034,2025-03-01 12:47:17,30.21570097233795,32.90176266292685,12.710325808640505,343.650482376385
94,Angola,2013,0.0,4.719,0.0,0.015,0.0,0.0,0.0,1.765,1.477,7.976,2025-03-01 12:47:17,26.225543951389923,79.22925506881649,0.1430843103831741,868.600741146732
95,Angola,2014,0.036,4.991,0.0,0.017,0.0,0.036,0.0,2.272,1.9,9.252,2025-03-01 12:47:17,30.41934359909122,79.5804486570112,6.043350465750729,614.4757509431331
96,Angola,2015,0.042,5.037,0.0,0.018,0.0,0.042,0.0,2.294,1.918,9.351,2025-03-01 12:47:17,24.875911927287817,65.2800278057777,13.60864750915618,509.5099290762615
97,Angola,2016,0.155,5.757,0.0,0.018,0.0,0.155,0.0,2.327,1.946,10.358,2025-03-01 12:47:17,25.45465658763988,51.18617333630337,11.10469546265927,234.67304935803404
98,Angola,2017,0.2,7.576,0.0,0.018,0.0,0.2,0.0,1.569,1.313,10.876,2025-03-01 12:47:17,23.550820367170992,77.987001866747,8.14262061501112,504.7545774914037
99,Angola,2018,0.2,8.647,0.0,0.018,0.0,0.2,0.0,1.536,1.285,11.886,2025-03-01 12:47:17,15.508382534881903,63.281221487302034,7.944667905527002,350.642803021648
100,Angola,2019,0.253,9.85,0.0,0.018,0.0,0.253,0.0,1.284,1.074,12.732,2025-03-01 12:47:17,17.157828539866088,79.55593851300097,5.2165514640665664,948.8468150680143
101,Antigua and Barbuda,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.141,0.141,2025-03-01 12:47:17,15.628583713734685,67.88752755498123,7.807808004622718,895.6630984741581
102,Antigua and Barbuda,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.161,0.161,2025-03-01 12:47:17,27.72820822527561,77.06432839276783,9.8307479919518,175.5122876453782
103,Antigua and Barbuda,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,2025-03-01 12:47:17,21.287119621526536,65.9137795930656,6.275445576431896,564.9881403351186
104,Antigua and Barbuda,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.198,0.198,2025-03-01 12:47:17,25.171413823294056,54.84846409293998,10.71229719588261,302.5525109632049
105,Antigua and Barbuda,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.208,0.208,2025-03-01 12:47:17,33.15132947852186,87.47675159556826,12.918483408905788,469.6993805718615
106,Antigua and Barbuda,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.228,0.228,2025-03-01 12:47:17,19.9858445829775,62.46682949273068,2.3202727227729176,889.1631984263108
107,Antigua and Barbuda,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.243,0.243,2025-03-01 12:47:17,23.207658460712597,66.30537111243231,6.773205342261367,574.7630678996903
108,Antigua and Barbuda,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.263,0.263,2025-03-01 12:47:17,30.111022770860973,43.22925836488496,6.120301369276216,400.79376403368383
109,Antigua and Barbuda,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.271,0.271,2025-03-01 12:47:17,19.57596330983245,67.53904736563659,10.31197206074592,287.09951869449736
110,Antigua and Barbuda,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.308,0.308,2025-03-01 12:47:17,16.53959819657586,64.29645896897662,3.748011978868941,820.2923734658403
111,Antigua and Barbuda,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.319,0.319,2025-03-01 12:47:17,20.79502905827536,41.09030387682149,9.603763724284144,662.0662138279124
112,Antigua and Barbuda,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.318,0.318,2025-03-01 12:47:17,18.22442574508009,33.575225841188626,13.16233862597232,521.258914383608
113,Antigua and Barbuda,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.31,2025-03-01 12:47:17,33.59395304685146,66.26155918288626,6.27197399690434,295.73591847668024
114,Antigua and Barbuda,2013,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.31,0.311,2025-03-01 12:47:17,31.16240759128834,75.82153616101922,13.6652354996883,400.8217367414182
115,Antigua and Barbuda,2014,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.316,0.317,2025-03-01 12:47:17,27.66807513020847,61.40408225532049,14.897456084002176,963.8590840646667
116,Antigua and Barbuda,2015,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.32,0.325,2025-03-01 12:47:17,32.42921180375436,43.60635751917874,1.591380749219281,568.0809438452509
117,Antigua and Barbuda,2016,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.323,0.329,2025-03-01 12:47:17,31.07344153798229,69.9913186015821,3.4957978197728794,460.62935311892767
118,Antigua and Barbuda,2017,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.323,0.329,2025-03-01 12:47:17,18.73140117772072,34.806343596576134,14.2556962722314,569.2798381134915
119,Antigua and Barbuda,2018,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.325,0.338,2025-03-01 12:47:17,32.85117996979956,56.51002228811728,14.374915297220802,801.0896553096478
120,Antigua and Barbuda,2019,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.327,0.342,2025-03-01 12:47:17,25.786844838313016,39.80200550390521,1.4656091308013774,406.0980428525819
121,Argentina,2000,0.68,28.486,5.985,0.0,0.035,0.68,1.855,45.125,3.074,85.92,2025-03-01 12:47:17,31.14880310328125,41.067543063593,0.2249775056570502,260.835508839348
122,Argentina,2001,0.62,36.653,6.541,0.0,0.049,0.62,1.433,40.126,1.079,87.121,2025-03-01 12:47:17,32.92182599846986,42.13763694949222,2.4165003488463337,626.442506505143
123,Argentina,2002,0.87,35.492,5.39,0.0,0.073,0.87,0.877,37.593,0.861,82.026,2025-03-01 12:47:17,21.36006949943728,53.202423422638674,14.940191750733725,698.6836931329605
124,Argentina,2003,1.0,33.475,7.03,0.0,0.078,1.0,0.984,44.487,1.092,89.146,2025-03-01 12:47:17,17.201038490553536,33.06901233722386,2.699994249160303,741.4462026626946
125,Argentina,2004,1.2,30.136,7.313,0.0,0.072,1.2,1.707,51.058,4.205,96.891,2025-03-01 12:47:17,19.558703250838832,53.86760645574589,7.538214100830347,893.7888316895167
126,Argentina,2005,1.3,33.664,6.37,0.0,0.075,1.3,2.22,51.126,6.11,102.165,2025-03-01 12:47:17,23.542155772525128,60.70244682688205,12.726265896457663,434.05670862020173
127,Argentina,2006,2.8,37.571,7.153,0.0,0.07,2.8,2.105,53.009,8.703,114.211,2025-03-01 12:47:17,31.36029531844986,58.99765709797951,0.3060241603230951,167.81940660600262
128,Argentina,2007,2.76,30.063,6.722,0.0,0.061,2.76,2.494,56.72,12.049,113.629,2025-03-01 12:47:17,32.21461166512687,52.96704602418244,9.067334733876892,962.513725267848
129,Argentina,2008,1.576,30.113,6.85,0.0,0.042,1.576,1.952,59.414,14.809,116.332,2025-03-01 12:47:17,15.139042610623816,80.34879648424516,4.155381733044365,491.51073469372767
130,Argentina,2009,1.366,33.527,7.59,0.0,0.036,1.366,1.809,56.819,15.154,117.667,2025-03-01 12:47:17,25.21494605155132,38.71960154523025,12.935023746595974,660.9317587058182
131,Argentina,2010,1.165,33.019,6.691,0.0,0.025,1.165,3.113,58.055,17.557,120.79,2025-03-01 12:47:17,23.348220062975575,60.34180462688244,4.251917238961188,699.6747908154631
132,Argentina,2011,1.162,31.034,5.894,0.002,0.059,1.162,3.032,61.438,20.133,123.916,2025-03-01 12:47:17,19.442156209414605,33.72248501739326,10.301335804228634,591.8623378310831
133,Argentina,2012,1.372,28.712,5.903,0.008,0.822,1.372,2.701,68.919,20.255,130.064,2025-03-01 12:47:17,17.397307346673657,34.269340732674586,10.113294486710954,284.7317767626431
134,Argentina,2013,1.314,32.513,5.732,0.015,1.007,1.314,2.434,67.365,21.931,133.625,2025-03-01 12:47:17,21.75230342807256,64.43195098062577,3.3224032328946,779.6287451045273
135,Argentina,2014,0.988,32.332,5.258,0.016,0.619,0.988,2.634,69.154,20.612,132.601,2025-03-01 12:47:17,33.858194078250385,63.96110549326926,0.5219879980252518,823.3767768736735
136,Argentina,2015,1.194,31.939,6.519,0.015,0.593,1.194,2.487,71.293,23.761,138.995,2025-03-01 12:47:17,21.464058640415104,82.68201077066742,6.13874360678096,597.6780274156959
137,Argentina,2016,1.214,29.405,7.677,0.014,0.548,1.214,1.977,76.574,21.953,140.576,2025-03-01 12:47:17,25.37581243486732,63.47242053960439,4.337897279488045,539.7050445263574
138,Argentina,2017,1.389,31.459,5.716,0.016,0.612,1.389,2.202,84.051,12.763,139.597,2025-03-01 12:47:17,29.06037917790356,87.58746122429102,12.13466624420563,202.54436481518678
139,Argentina,2018,1.36,31.962,6.453,0.108,1.413,1.36,2.193,88.476,7.515,140.84,2025-03-01 12:47:17,22.27259204758588,32.92169090399579,12.00546282683018,175.55649534980546
140,Argentina,2019,1.724,27.335,7.927,0.8,4.997,1.724,0.741,85.787,3.372,134.407,2025-03-01 12:47:17,34.435641654419214,35.88046108684446,6.855359282889382,405.60836100717586
141,Argentina,2020,1.893,20.854,10.01,1.344,9.42,1.893,1.446,86.69,3.492,137.042,2025-03-01 12:47:17,34.24894589884222,32.643951694222885,9.097683379848284,379.7615399656539
142,Armenia,2000,0.0,1.248,1.84,0.0,0.0,0.0,0.0,2.53,0.0,5.618,2025-03-01 12:47:17,20.035645916507285,41.1166110200124,9.063892739803878,958.2908058669441
143,Armenia,2001,0.0,0.958,1.987,0.0,0.0,0.0,0.0,2.623,0.0,5.568,2025-03-01 12:47:17,24.94497011784771,62.476206656500686,12.407372226414353,805.2604681990867
